timestamp,mac_hash,rssi,gps_fix,lat,lon
2026-02-13 22:48:28,85a22dc5aca4eea7,-96,1,17.45615,78.41745
2026-02-13 22:48:28,cb55bacebe38f1d0,-89,1,17.45615,78.41745
2026-02-13 22:48:28,89701869d043c35c,-51,1,17.45615,78.41745
2026-02-13 22:48:28,c5a59d055f02a72f,-89,1,17.45615,78.41745
2026-02-13 22:48:33,85a22dc5aca4eea7,-98,1,17.45615,78.41746
2026-02-13 22:48:33,89701869d043c35c,-51,1,17.45615,78.41746
2026-02-13 22:48:33,c5a59d055f02a72f,-86,1,17.45615,78.41746
2026-02-13 22:48:38,85a22dc5aca4eea7,-100,1,17.45616,78.41747
2026-02-13 22:48:38,89701869d043c35c,-52,1,17.45616,78.41747
2026-02-13 22:48:43,85a22dc5aca4eea7,-102,1,17.45617,78.41747
2026-02-13 22:48:43,89701869d043c35c,-51,1,17.45617,78.41747
2026-02-13 22:48:48,89701869d043c35c,-52,1,17.45618,78.41747
2026-02-13 22:48:48,c5a59d055f02a72f,-84,1,17.45618,78.41747
2026-02-13 22:48:48,60ab13031f8ca2da,-97,1,17.45618,78.41747
2026-02-13 22:48:53,85a22dc5aca4eea7,-98,1,17.45618,78.41746
2026-02-13 22:48:53,89701869d043c35c,-51,1,17.45618,78.41746
2026-02-13 22:48:53,c5a59d055f02a72f,-85,1,17.45618,78.41746
2026-02-13 22:48:58,85a22dc5aca4eea7,-97,1,17.45619,78.41748
2026-02-13 22:48:58,89701869d043c35c,-52,1,17.45619,78.41748
2026-02-13 22:48:58,c5a59d055f02a72f,-87,1,17.45619,78.41748
2026-02-13 22:49:03,85a22dc5aca4eea7,-98,1,17.45619,78.41745
2026-02-13 22:49:03,89701869d043c35c,-51,1,17.45619,78.41745
2026-02-13 22:49:08,85a22dc5aca4eea7,-98,1,17.45618,78.41744
2026-02-13 22:49:08,89701869d043c35c,-51,1,17.45618,78.41744
2026-02-13 22:49:08,c5a59d055f02a72f,-87,1,17.45618,78.41744
2026-02-13 22:49:13,85a22dc5aca4eea7,-98,1,17.45618,78.41744
2026-02-13 22:49:13,89701869d043c35c,-51,1,17.45618,78.41744
2026-02-13 22:49:13,468e12709335335b,-95,1,17.45618,78.41744
2026-02-13 22:49:18,85a22dc5aca4eea7,-101,1,17.45618,78.41746
2026-02-13 22:49:18,89701869d043c35c,-50,1,17.45618,78.41746
2026-02-13 22:49:18,c5a59d055f02a72f,-88,1,17.45618,78.41746
2026-02-13 22:49:23,811c2b1a940e4911,-93,1,17.45619,78.41746
2026-02-13 22:49:23,85a22dc5aca4eea7,-96,1,17.45619,78.41746
2026-02-13 22:49:23,89701869d043c35c,-51,1,17.45619,78.41746
2026-02-13 22:49:28,85a22dc5aca4eea7,-99,1,17.45620,78.41745
2026-02-13 22:49:28,89701869d043c35c,-51,1,17.45620,78.41745
2026-02-13 22:49:28,c5a59d055f02a72f,-84,1,17.45620,78.41745
2026-02-13 22:49:33,811c2b1a940e4911,-93,1,17.45620,78.41745
2026-02-13 22:49:33,85a22dc5aca4eea7,-95,1,17.45620,78.41745
2026-02-13 22:49:33,89701869d043c35c,-51,1,17.45620,78.41745
2026-02-13 22:49:33,c5a59d055f02a72f,-88,1,17.45620,78.41745
2026-02-13 22:49:38,811c2b1a940e4911,-95,1,17.45618,78.41745
2026-02-13 22:49:38,c682200218e555ff,-92,1,17.45618,78.41745
2026-02-13 22:49:38,85a22dc5aca4eea7,-97,1,17.45618,78.41745
2026-02-13 22:49:38,89701869d043c35c,-51,1,17.45618,78.41745
2026-02-13 22:49:43,c682200218e555ff,-93,1,17.45618,78.41746
2026-02-13 22:49:43,85a22dc5aca4eea7,-97,1,17.45618,78.41746
2026-02-13 22:49:43,89701869d043c35c,-51,1,17.45618,78.41746
2026-02-13 22:49:48,811c2b1a940e4911,-96,1,17.45615,78.41746
2026-02-13 22:49:48,85a22dc5aca4eea7,-98,1,17.45615,78.41746
2026-02-13 22:49:48,89701869d043c35c,-51,1,17.45615,78.41746
2026-02-13 22:49:53,85a22dc5aca4eea7,-97,1,17.45613,78.41747
2026-02-13 22:49:53,89701869d043c35c,-51,1,17.45613,78.41747
2026-02-13 22:49:53,c5a59d055f02a72f,-95,1,17.45613,78.41747
2026-02-13 22:49:58,85a22dc5aca4eea7,-97,1,17.45614,78.41746
