ts_unix,ts_local,mac_hash,gps_fix,lat,lon,rssi
1770527100.815882,2026-02-08 10:35:00,37ea2de34fbd97d1,1,17.45610,78.41745,-96
1770527105.3018417,2026-02-08 10:35:05,5d0262dc69860b2d,1,17.45611,78.41746,-90
1770527119.3116941,2026-02-08 10:35:19,d9b2fbc49f93bf04,1,17.45609,78.41747,-92
1770527126.2835083,2026-02-08 10:35:26,d9b2fbc49f93bf04,1,17.45609,78.41747,-92
1770527129.267363,2026-02-08 10:35:29,6305d7b7f10c62cf,1,17.45609,78.41747,-94
1770527137.3856113,2026-02-08 10:35:37,d9b2fbc49f93bf04,1,17.45613,78.41746,-92
1770527147.411465,2026-02-08 10:35:47,c8d6a88b29cc57e4,1,17.45613,78.41746,-90
1770527150.8452008,2026-02-08 10:35:50,d9b2fbc49f93bf04,1,17.45612,78.41747,-91
1770527153.5653677,2026-02-08 10:35:53,37ea2de34fbd97d1,1,17.45610,78.41745,-95
1770527172.4130127,2026-02-08 10:36:12,d9b2fbc49f93bf04,1,17.45609,78.41742,-91
1770527178.8617716,2026-02-08 10:36:18,d9b2fbc49f93bf04,1,17.45607,78.41741,-92
1770527182.897986,2026-02-08 10:36:22,d9b2fbc49f93bf04,1,17.45607,78.41738,-92
1770527196.3128092,2026-02-08 10:36:36,d9b2fbc49f93bf04,1,17.45607,78.41738,-93
1770527199.8341372,2026-02-08 10:36:39,d9b2fbc49f93bf04,1,17.45608,78.41738,-92
1770527203.6221898,2026-02-08 10:36:43,d9b2fbc49f93bf04,1,17.45609,78.41738,-92
1770527235.13375,2026-02-08 10:37:15,d9b2fbc49f93bf04,1,17.45604,78.41741,-92
1770527235.8788261,2026-02-08 10:37:15,e977105dcb366b53,1,17.45604,78.41741,-98
1770527248.831891,2026-02-08 10:37:28,d9b2fbc49f93bf04,1,17.45609,78.41740,-92
1770527252.695056,2026-02-08 10:37:32,d9b2fbc49f93bf04,1,17.45612,78.41739,-92
1770527255.8472233,2026-02-08 10:37:35,d9b2fbc49f93bf04,1,17.45615,78.41738,-90
1770527332.3466973,2026-02-08 10:38:52,9cd8bb9cf5650da0,1,17.45600,78.41739,-93
1770527335.8478887,2026-02-08 10:38:55,9cd8bb9cf5650da0,1,17.45602,78.41740,-93
1770527336.4143867,2026-02-08 10:38:56,02bbed98d471f45b,1,17.45602,78.41740,-93
1770527340.5296006,2026-02-08 10:39:00,d9b2fbc49f93bf04,1,17.45602,78.41739,-93
1770527343.3668823,2026-02-08 10:39:03,d9b2fbc49f93bf04,1,17.45602,78.41739,-93
1770527378.3660414,2026-02-08 10:39:38,d9b2fbc49f93bf04,1,17.45604,78.41740,-91
1770527380.1142743,2026-02-08 10:39:40,c9a8a95b2172a000,1,17.45604,78.41740,-92
1770527400.3412573,2026-02-08 10:40:00,d9b2fbc49f93bf04,1,17.45606,78.41740,-91
1770527409.9064798,2026-02-08 10:40:09,d9b2fbc49f93bf04,1,17.45609,78.41740,-91
1770527417.2178874,2026-02-08 10:40:17,d9b2fbc49f93bf04,1,17.45612,78.41742,-91
1770527417.2913642,2026-02-08 10:40:17,1703992eff5f0dc9,1,17.45612,78.41742,-94
1770527424.9011567,2026-02-08 10:40:24,d81ad9ae3cc9940e,1,17.45615,78.41744,-97
1770527426.8791852,2026-02-08 10:40:26,1703992eff5f0dc9,1,17.45613,78.41745,-93
1770527433.071765,2026-02-08 10:40:33,ad8522fef80c0929,1,17.45613,78.41746,-98
1770527433.8839717,2026-02-08 10:40:33,893aabcbb16e56fe,1,17.45613,78.41746,-98
1770527437.3858972,2026-02-08 10:40:37,213c233d88d58244,1,17.45614,78.41745,-90
1770527439.3441498,2026-02-08 10:40:39,213c233d88d58244,1,17.45615,78.41745,-89
1770527447.8899891,2026-02-08 10:40:47,4fe364dd8488de55,1,17.45615,78.41747,-94
1770527462.7522452,2026-02-08 10:41:02,d9b2fbc49f93bf04,1,17.45608,78.41747,-91
1770527464.0222547,2026-02-08 10:41:04,f3a66ab99bdaa664,1,17.45608,78.41747,-96
1770527465.397543,2026-02-08 10:41:05,d05d257c45de3acc,1,17.45608,78.41747,-90
